resp.keys,resp.corr,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,text,letterColor,corrAns,congruent,participant,session,date,expName,psychopyVersion,OS,frameRate
right,1,1.343,0,0,0,4,1,blue,blue,right,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,1.1293,0,1,1,1,1,red,green,down,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.7664,0,2,2,0,1,red,red,left,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.6051,0,3,3,5,1,blue,red,left,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4894,0,4,4,2,1,green,green,down,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.6166,0,5,5,3,1,green,blue,right,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.45,1,0,6,3,1,green,blue,right,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.4501,1,1,7,4,1,blue,blue,right,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.5174,1,2,8,1,1,red,green,down,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.408,1,3,9,0,1,red,red,left,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.6502,1,4,10,5,1,blue,red,left,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4171,1,5,11,2,1,green,green,down,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.4522,2,0,12,0,1,red,red,left,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.6251,2,1,13,4,1,blue,blue,right,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4935,2,2,14,2,1,green,green,down,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.512,2,3,15,3,1,green,blue,right,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.4591,2,4,16,5,1,blue,red,left,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4723,2,5,17,1,1,red,green,down,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.4331,3,0,18,0,1,red,red,left,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.4139,3,1,19,4,1,blue,blue,right,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4109,3,2,20,2,1,green,green,down,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.6345,3,3,21,5,1,blue,red,left,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.4184,3,4,22,1,1,red,green,down,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.3172,3,5,23,3,1,green,blue,right,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.4005,4,0,24,0,1,red,red,left,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.5049,4,1,25,3,1,green,blue,right,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,1,0.5027,4,2,26,5,1,blue,red,left,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
right,1,0.4558,4,3,27,4,1,blue,blue,right,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
left,0,0.3832,4,4,28,2,1,green,green,down,1,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
down,1,0.6058,4,5,29,1,1,red,green,down,0,ysabella,001,2022-03-14_11h35.02.777,stroop,2021.2.3,Win32,60.50338819
