startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
-0.038888889,0.034259259,1,0,0,-0.27037037,-0.059259259,1,0,0,1.221,1,"[-0.27,-0.09000000000000002]",0,0,0,4,1,black,black,1,5,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.025,0.009259259,1,0,0,0.1588,1,"[0.26999999999999996,0.09]",0,1,1,8,1,black,black,1,20,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.014814815,0.211111111,1,0,0,0.8931,1,"[-0.02999999999999997,0.18]",0,2,2,2,1,black,black,1,5,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,0.29537037,-0.132407407,1,0,0,1.0605,1,"[0.3,-0.14999999999999997]",0,3,3,0,1,black,black,1,5,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,0.266666667,0.135185185,1,0,0,0.7767,1,"[0.26999999999999996,0.12]",0,4,4,3,1,black,black,1,5,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.063888889,0.298148148,1,0,0,0.7935,1,"[-0.02999999999999997,0.3]",0,5,5,9,1,red,black,1,20,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.09537037,0.047222222,1,0,0,2.7115,1,"[-0.06,0.02999999999999997]",0,6,6,6,1,black,black,1,20,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.118518519,0.230555556,1,0,0,0.9138,1,"[-0.09,0.24]",0,7,7,5,1,black,black,0,20,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,0.306481481,-0.273148148,1,0,0,1.3619,1,"[0.26999999999999996,-0.3]",0,8,8,7,1,black,black,1,20,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
,,,,,-0.29537037,0.033333333,1,0,0,1.0131,1,"[-0.3,0.06]",0,9,9,1,1,black,black,1,5,1,001,2022-02-28_15h41.12.937,visual-search,2020.2.8,Win32,60
