startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
0.037037037,-0.008333333,1,0,0,-0.291666667,0.109259259,1,0,0,2.6988,1,"[-0.3,0.12]",0,0,0,6,1,black,black,1,20,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,-0.240740741,0.136111111,1,0,0,1.007,1,"[-0.24,0.12]",0,1,1,3,1,black,black,1,5,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,0.200925926,-0.306481481,1,0,0,1.2091,1,"[0.18,-0.3]",0,2,2,0,1,black,black,1,5,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,-0.321296296,0.146296296,1,0,0,2.8439,1,"[-0.3,0.15]",0,3,3,8,1,black,black,1,20,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,0.007407407,0.140740741,1,0,0,1.2738,1,"[0.02999999999999997,0.15]",0,4,4,5,1,black,black,0,20,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,-0.15462963,0.048148148,1,0,0,0.6261,1,"[-0.18,0.02999999999999997]",0,5,5,1,1,black,black,1,5,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,0.225925926,-0.171296296,1,0,0,1.0245,1,"[0.21000000000000002,-0.14999999999999997]",0,6,6,4,1,black,black,1,5,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,-0.000925926,0.085185185,1,0,0,1.3766,1,"[0,0.06]",0,7,7,7,1,black,black,1,20,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,0.110185185,-0.224074074,1,0,0,1.3254,1,"[0.09000000000000002,-0.21000000000000002]",0,8,8,2,1,black,black,1,5,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
,,,,,0.076851852,0.087962963,1,0,0,0.9091,1,"[0.09000000000000002,0.06]",0,9,9,9,1,red,black,1,20,Finnnnnnnnnnn,001,2022-02-28_15h46.55.667,visual-search,2020.2.8,Win32,60
