startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
0.258789063,-0.282226563,1,0,0,-0.181640625,-0.130859375,1,0,0,1.89082,1,"[-0.18,-0.12]",0,0,0,5,1,black,black,0,20,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.200195313,-0.23046875,1,0,0,1.190635,1,"[0.06,-0.26999999999999996]",0,1,1,4,1,black,black,1,5,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.251953125,-0.2421875,1,0,0,0.79305,0,"[0.21000000000000002,0.27]",0,2,2,7,1,black,black,1,20,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.251953125,-0.2421875,1,0,0,0.85658,0,"[-0.09,-0.24000000000000005]",0,3,3,9,1,red,black,1,20,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.245117188,-0.244140625,1,0,0,2.503085,0,"[0.09000000000000002,-0.09000000000000002]",0,4,4,0,1,black,black,1,5,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.189453125,0,1,0,0,3.392235,1,"[0.18,0]",0,5,5,2,1,black,black,1,5,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.115234375,0.271484375,1,0,0,2.29272,1,"[0.09000000000000002,0.27]",0,6,6,8,1,black,black,1,20,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.135742188,0.189453125,1,0,0,4.7414,1,"[0.12,0.18]",0,7,7,3,1,black,black,1,5,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,0.03515625,0.053710938,1,0,0,7.07151,1,"[0.02999999999999997,0.06]",0,8,8,6,1,black,black,1,20,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
,,,,,-0.15234375,0.25,1,0,0,1.255575,1,"[-0.15,0.27]",0,9,9,1,1,black,black,1,5,,001,2021-05-24_16h16.31.677,visual-search,2020.2.8,Win32,60
