targetCol,distractorCol,mixedOris,setSize,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt.started,instrTxt.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,startMouse.started,startMouse.stopped,Tstim.started,Tstim.stopped,Tstim_2.started,Tstim_2.stopped,Tstim_3.started,Tstim_3.stopped,Tstim_4.started,Tstim_4.stopped,Tstim_5.started,Tstim_5.stopped,Tstim_6.started,Tstim_6.stopped,Tstim_7.started,Tstim_7.stopped,Tstim_8.started,Tstim_8.stopped,Tstim_9.started,Tstim_9.stopped,Tstim_10.started,Tstim_10.stopped,Tstim_11.started,Tstim_11.stopped,Tstim_12.started,Tstim_12.stopped,Tstim_13.started,Tstim_13.stopped,Tstim_14.started,Tstim_14.stopped,Tstim_15.started,Tstim_15.stopped,Tstim_16.started,Tstim_16.stopped,Tstim_17.started,Tstim_17.stopped,Tstim_18.started,Tstim_18.stopped,Tstim_19.started,Tstim_19.stopped,Tstim_20.started,Tstim_20.stopped,Lstim.started,Lstim.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,corr,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,12.760979100014083,None,-0.0375,-0.10333333333333333,1,0,0,0.01638401992386207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,20,0,0,0,6,,,,,,,,,,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,13.966737300012028,None,0.11083333333333334,-0.03833333333333333,1,0,0,2.581537499994738,0.012893580016680062,None,1,16.5273290000041,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,5,0,1,1,1,,,,,,,,,,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,17.65825050001149,None,0.15833333333333333,-0.13083333333333333,1,0,0,1.4933033999986947,0.008144360006554052,None,1,19.11601560001145,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,5,0,2,2,3,,,,,,,,,,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,20.25212270001066,None,-0.050833333333333335,0.19666666666666666,1,0,0,2.015891900024144,0.013597919984022155,None,1,22.235106900014216,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,5,0,3,3,0,,,,,,,,,,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,23.342053500004113,None,0.15416666666666667,-0.30583333333333335,1,0,0,2.5971596999734174,0.011471600009826943,None,1,25.90503340002033,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,20,0,4,4,7,,,,,,,,,,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,27.009408500016434,None,0.3383333333333333,-0.09916666666666667,1,0,0,1.3602288000111002,0.009059400035766885,None,0,28.355097899999237,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
red,black,1,20,0,5,5,9,,,,,,,,,,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,29.46083340002224,None,-0.22083333333333333,-0.19416666666666665,1,0,0,1.413048999995226,0.011393059976398945,None,1,30.862857400003122,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,0,20,0,6,6,5,,,,,,,,,,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,31.960026100015966,None,0.015833333333333335,0.115,1,0,0,6.777519300027052,0.004614340025000274,None,1,38.71584829999483,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,5,0,7,7,2,,,,,,,,,,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,39.8559818000067,None,0.115,-0.0008333333333333334,1,0,0,2.140893399977358,0.0060973200015723705,None,1,41.96836570001324,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
black,black,1,5,0,8,8,4,,,,,,,,,,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,43.121413400018355,None,0.115,-0.0008333333333333334,1,0,0,1.2915601000131574,0.0068254200159572065,None,0,44.37834389999625,None,,001,2020_Nov_28_2045,visual-search,2020.2.8,59.85017108697951,
