startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,corr,targetOri,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,targetCol,distractorCol,mixedOris,setSize,participant,session,date,expName,psychopyVersion,OS,frameRate
0.210185202,0.010185178,1,0,0,-0.213888879,-0.231481492,1,0,0,1.59524,1,"[-0.24,-0.24000000000000005]",0,0,0,0,1,black,black,1,5,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,-0.049074005,-0.070370379,1,0,0,1.498555,1,"[-0.06,-0.06]",0,1,1,7,1,black,black,1,20,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,0.239814832,0.297222219,1,0,0,1.44454,1,"[0.24000000000000005,0.3]",0,2,2,8,1,black,black,1,20,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,0.166666682,-0.20925927,1,0,0,1.66408,1,"[0.18,-0.21000000000000002]",0,3,3,5,1,black,black,0,20,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,0.063888903,-0.002777785,1,0,0,0.92845,1,"[0.02999999999999997,0]",0,4,4,2,1,black,black,1,5,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,-0.296296287,0.306481479,1,0,0,0.99697,1,"[-0.27,0.3]",0,5,5,1,1,black,black,1,5,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,-0.206481415,0.051851845,1,0,0,0.74258,1,"[-0.24,0.02999999999999997]",0,6,6,3,1,black,black,1,5,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,-0.018518506,0.242592589,1,0,0,0.932415,1,"[-0.02999999999999997,0.27]",0,7,7,4,1,black,black,1,5,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,-0.240740731,-0.096296305,1,0,0,0.896185,1,"[-0.24,-0.09000000000000002]",0,8,8,9,1,red,black,1,20,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
,,,,,0.018518532,0.029629623,1,0,0,2.395835,1,"[0.02999999999999997,0.02999999999999997]",0,9,9,6,1,black,black,1,20,me,001,2021-01-05_15h17.40.728,visual-search,2020.2.8,Win32,60
