ans_labels,ans,sub_ind,student_id,n_correct,n_total,score
1a,TRUE,2,46364226,14,15,0.933333333333333
1b,TRUE,2,46364226,14,15,0.933333333333333
1c,TRUE,2,46364226,14,15,0.933333333333333
1d,TRUE,2,46364226,14,15,0.933333333333333
2a,FALSE,2,46364226,14,15,0.933333333333333
2b,TRUE,2,46364226,14,15,0.933333333333333
2c,TRUE,2,46364226,14,15,0.933333333333333
2d,TRUE,2,46364226,14,15,0.933333333333333
3a,TRUE,2,46364226,14,15,0.933333333333333
3b,TRUE,2,46364226,14,15,0.933333333333333
4a,TRUE,2,46364226,14,15,0.933333333333333
4b,TRUE,2,46364226,14,15,0.933333333333333
4c,TRUE,2,46364226,14,15,0.933333333333333
4d,TRUE,2,46364226,14,15,0.933333333333333
4e,TRUE,2,46364226,14,15,0.933333333333333
1a,TRUE,3,46355510,11,15,0.733333333333333
1b,TRUE,3,46355510,11,15,0.733333333333333
1c,TRUE,3,46355510,11,15,0.733333333333333
1d,,3,46355510,11,15,0.733333333333333
2a,TRUE,3,46355510,11,15,0.733333333333333
2b,TRUE,3,46355510,11,15,0.733333333333333
2c,TRUE,3,46355510,11,15,0.733333333333333
2d,,3,46355510,11,15,0.733333333333333
3a,TRUE,3,46355510,11,15,0.733333333333333
3b,FALSE,3,46355510,11,15,0.733333333333333
4a,TRUE,3,46355510,11,15,0.733333333333333
4b,TRUE,3,46355510,11,15,0.733333333333333
4c,TRUE,3,46355510,11,15,0.733333333333333
4d,TRUE,3,46355510,11,15,0.733333333333333
4e,,3,46355510,11,15,0.733333333333333
1a,TRUE,4,45386439,15,15,1
1b,TRUE,4,45386439,15,15,1
1c,TRUE,4,45386439,15,15,1
1d,TRUE,4,45386439,15,15,1
2a,TRUE,4,45386439,15,15,1
2b,TRUE,4,45386439,15,15,1
2c,TRUE,4,45386439,15,15,1
2d,TRUE,4,45386439,15,15,1
3a,TRUE,4,45386439,15,15,1
3b,TRUE,4,45386439,15,15,1
4a,TRUE,4,45386439,15,15,1
4b,TRUE,4,45386439,15,15,1
4c,TRUE,4,45386439,15,15,1
4d,TRUE,4,45386439,15,15,1
4e,TRUE,4,45386439,15,15,1
1a,TRUE,5,45658145,13,15,0.866666666666667
1b,TRUE,5,45658145,13,15,0.866666666666667
1c,TRUE,5,45658145,13,15,0.866666666666667
1d,TRUE,5,45658145,13,15,0.866666666666667
2a,TRUE,5,45658145,13,15,0.866666666666667
2b,TRUE,5,45658145,13,15,0.866666666666667
2c,TRUE,5,45658145,13,15,0.866666666666667
2d,TRUE,5,45658145,13,15,0.866666666666667
3a,TRUE,5,45658145,13,15,0.866666666666667
3b,TRUE,5,45658145,13,15,0.866666666666667
4a,TRUE,5,45658145,13,15,0.866666666666667
4b,FALSE,5,45658145,13,15,0.866666666666667
4c,FALSE,5,45658145,13,15,0.866666666666667
4d,TRUE,5,45658145,13,15,0.866666666666667
4e,TRUE,5,45658145,13,15,0.866666666666667
1a,TRUE,6,46360042,13,15,0.866666666666667
1b,TRUE,6,46360042,13,15,0.866666666666667
1c,TRUE,6,46360042,13,15,0.866666666666667
1d,TRUE,6,46360042,13,15,0.866666666666667
2a,TRUE,6,46360042,13,15,0.866666666666667
2b,FALSE,6,46360042,13,15,0.866666666666667
2c,TRUE,6,46360042,13,15,0.866666666666667
2d,TRUE,6,46360042,13,15,0.866666666666667
3a,TRUE,6,46360042,13,15,0.866666666666667
3b,FALSE,6,46360042,13,15,0.866666666666667
4a,TRUE,6,46360042,13,15,0.866666666666667
4b,TRUE,6,46360042,13,15,0.866666666666667
4c,TRUE,6,46360042,13,15,0.866666666666667
4d,TRUE,6,46360042,13,15,0.866666666666667
4e,TRUE,6,46360042,13,15,0.866666666666667
1a,TRUE,7,45340536,15,15,1
1b,TRUE,7,45340536,15,15,1
1c,TRUE,7,45340536,15,15,1
1d,TRUE,7,45340536,15,15,1
2a,TRUE,7,45340536,15,15,1
2b,TRUE,7,45340536,15,15,1
2c,TRUE,7,45340536,15,15,1
2d,TRUE,7,45340536,15,15,1
3a,TRUE,7,45340536,15,15,1
3b,TRUE,7,45340536,15,15,1
4a,TRUE,7,45340536,15,15,1
4b,TRUE,7,45340536,15,15,1
4c,TRUE,7,45340536,15,15,1
4d,TRUE,7,45340536,15,15,1
4e,TRUE,7,45340536,15,15,1
1a,TRUE,8,46411356,15,15,1
1b,TRUE,8,46411356,15,15,1
1c,TRUE,8,46411356,15,15,1
1d,TRUE,8,46411356,15,15,1
2a,TRUE,8,46411356,15,15,1
2b,TRUE,8,46411356,15,15,1
2c,TRUE,8,46411356,15,15,1
2d,TRUE,8,46411356,15,15,1
3a,TRUE,8,46411356,15,15,1
3b,TRUE,8,46411356,15,15,1
4a,TRUE,8,46411356,15,15,1
4b,TRUE,8,46411356,15,15,1
4c,TRUE,8,46411356,15,15,1
4d,TRUE,8,46411356,15,15,1
4e,TRUE,8,46411356,15,15,1
1a,TRUE,9,46350160,15,15,1
1b,TRUE,9,46350160,15,15,1
1c,TRUE,9,46350160,15,15,1
1d,TRUE,9,46350160,15,15,1
2a,TRUE,9,46350160,15,15,1
2b,TRUE,9,46350160,15,15,1
2c,TRUE,9,46350160,15,15,1
2d,TRUE,9,46350160,15,15,1
3a,TRUE,9,46350160,15,15,1
3b,TRUE,9,46350160,15,15,1
4a,TRUE,9,46350160,15,15,1
4b,TRUE,9,46350160,15,15,1
4c,TRUE,9,46350160,15,15,1
4d,TRUE,9,46350160,15,15,1
4e,TRUE,9,46350160,15,15,1
1a,TRUE,10,45903883,14,15,0.933333333333333
1b,TRUE,10,45903883,14,15,0.933333333333333
1c,TRUE,10,45903883,14,15,0.933333333333333
1d,TRUE,10,45903883,14,15,0.933333333333333
2a,TRUE,10,45903883,14,15,0.933333333333333
2b,TRUE,10,45903883,14,15,0.933333333333333
2c,TRUE,10,45903883,14,15,0.933333333333333
2d,TRUE,10,45903883,14,15,0.933333333333333
3a,TRUE,10,45903883,14,15,0.933333333333333
